essay_set,WordCount,LongWord,AvgWord,Quotation,SentenceCount,SentenceLength,CommaCount,NounCount,AdverbCount,AdjectiveCount,VerbCount,PunctuationCount,ForeignCount,SpellingMistake,Positive,Negative,score,GradeLevel,EssayType
1,386,67,4.550295857988166,2,16,116.25,18,77,0,16,44,39,0,1,0.88204235,0.11795765161514282,3,10,1
1,464,86,4.463007159904534,1,20,113.45,12,95,4,14,54,33,0,1,0.11289691925048828,0.8871030999999999,4,10,1
1,313,56,4.526881720430108,2,14,109.14285714285714,9,67,3,11,34,23,0,1,0.9861540000000001,0.013845980167388916,3,10,1
1,611,140,5.041984732824427,2,27,116.25925925925924,13,131,8,32,58,44,0,1,0.002095162868499756,0.99790484,4,10,1
1,517,95,4.526881720430108,2,30,84.66666666666667,13,105,9,16,47,43,0,1,0.1158505082130432,0.8841495,3,10,1
1,273,39,4.191056910569106,0,15,84.13333333333334,3,38,10,5,26,19,0,1,0.0025542378425598145,0.99744576,3,10,1
1,580,99,4.629258517034068,4,30,92.63333333333334,35,116,20,16,51,66,0,1,0.0023021697998046875,0.99769783,4,10,1
1,556,99,4.653526970954356,7,39,68.87179487179488,11,120,4,31,64,65,0,1,0.9793134,0.02068662643432617,4,10,1
1,512,84,4.424379232505643,5,35,67.65714285714286,16,89,10,24,48,57,0,1,0.011252462863922121,0.98874754,3,10,1
1,561,77,4.245019920318725,6,26,100.26923076923076,14,90,12,28,48,44,0,1,0.0005629658699035645,0.99943703,4,10,1
1,373,89,5.043076923076924,2,22,88.27272727272727,13,76,7,26,43,39,0,1,0.005566835403442383,0.99443316,3,10,1
1,435,81,4.5688775510204085,4,25,86.32,0,73,15,22,45,25,0,1,0.0014635920524597168,0.9985364,3,10,1
1,211,23,3.9411764705882364,0,6,167.0,0,35,3,8,24,6,0,1,0.0398985743522644,0.9601014000000001,3,10,1
1,332,51,4.2564935064935066,0,25,63.72,0,77,7,21,31,25,0,1,0.02559298276901245,0.974407,2,10,1
1,197,40,4.636363636363637,0,13,75.30769230769229,7,47,1,12,18,21,0,1,0.9978866,0.0021134018898010254,2,10,1
1,605,130,5.0018939393939394,3,35,89.54285714285713,23,141,12,28,76,62,0,1,0.9071589,0.09284108877182007,5,10,1
1,385,54,4.388059701492537,6,18,99.27777777777777,18,61,1,7,34,36,0,1,0.009952008724212645,0.9900479999999999,3,10,1
1,420,56,4.355191256830601,3,15,129.66666666666666,26,59,7,15,41,41,0,1,0.025989830493927,0.97401017,3,10,1
1,72,12,4.5,0,7,50.85714285714285,0,17,3,0,7,6,0,1,0.005454957485198975,0.99454504,1,10,1
1,181,31,4.57051282051282,1,11,78.0,3,43,2,12,19,16,0,1,0.9126913000000001,0.08730870485305786,2,10,1
1,405,75,4.5858310626703,0,20,101.5,14,68,7,20,38,36,0,1,0.397868275642395,0.6021316999999999,3,10,1
1,59,8,4.678571428571429,0,2,158.0,0,16,0,2,7,2,0,1,0.99430376,0.005696237087249756,1,10,1
1,593,111,4.525911708253359,4,30,94.96666666666668,11,104,5,20,62,41,0,1,0.0017837882041931152,0.9982162,4,10,1
1,673,132,4.7549194991055455,5,39,81.48717948717949,42,132,10,29,70,99,0,1,0.9932936,0.006706416606903076,5,10,1
1,325,74,4.713310580204778,0,16,103.625,10,66,6,9,42,28,0,1,0.9897665000000001,0.010233521461486816,3,10,1
1,429,79,4.5694444444444455,2,22,90.13636363636364,23,73,7,11,51,50,0,1,0.058333277702331536,0.9416667,4,10,1
1,142,21,4.425,0,7,92.0,6,28,1,5,7,13,0,1,0.030670821666717533,0.9693291999999999,1,10,1
1,407,80,4.686111111111111,1,28,72.10714285714286,16,80,13,20,47,44,0,1,0.9917739999999999,0.008225977420806885,4,10,1
1,432,74,4.560646900269542,1,23,88.69565217391305,22,81,6,23,38,55,0,1,0.9958374,0.004162609577178955,4,10,1
1,285,50,4.5330739299610885,2,15,93.8,6,56,3,19,34,22,0,1,0.9926155999999999,0.007384419441223144,3,10,1
1,574,100,4.516949152542373,7,34,75.58823529411767,30,95,14,26,56,74,0,1,0.98557585,0.014424145221710203,3,10,1
1,588,98,4.628048780487805,4,36,75.91666666666667,26,106,21,17,60,69,0,1,0.001385509967803955,0.9986145000000001,4,10,1
1,191,34,4.497005988023952,0,12,75.5,7,42,3,12,14,19,0,1,0.99680936,0.00319063663482666,2,10,1
1,416,61,4.19060773480663,4,26,71.26923076923076,15,86,5,17,45,41,0,1,0.98433566,0.015664339065551758,3,10,1
1,473,83,4.530266343825667,1,33,68.21212121212122,22,82,13,17,54,59,0,1,0.99410707,0.005892932415008545,3,10,1
1,637,111,4.564575645756458,3,24,124.66666666666669,35,97,9,40,52,63,1,1,0.0010880231857299805,0.9989120000000001,4,10,1
1,554,91,4.4405737704918025,1,31,84.64516129032258,25,105,11,31,54,57,0,1,0.02631479501724243,0.9736851999999999,5,10,1
1,379,68,4.294617563739377,0,17,108.94117647058823,7,69,4,21,39,26,0,1,0.7299628,0.2700371742248535,3,10,1
